,Name,Major,Gender,Year,Transfer,Sentiment,Text,GEN,ATMD,REC,BACK,EXMP,PREP,PROF,COMM,PEER,RAC,GENERAL,STERM,PEERS,EXPM,IMP
0,Buttercup,MechE,male,Not Specified,Not Specified,NEG," I would say, I don't know if it's something me and my friend group have considered but we all came up with our own, like, like labels for each one. Isn't formal, is like profanity allowed? 
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,Buttercup,MechE,male,Not Specified,Not Specified,NEG," I heard they said Mech. E's, at least freshmen, from what we experienced are all douches and I can see that in a sense where... 
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,Buttercup,MechE,male,Not Specified,Not Specified,NEG," I think it gets caught up in the idea of the regular Mech. E., which is usually a white male who goes to college and pursues that four-year degree and so competitive because they wanna create something. So, I think it creates this aura around them where I do believe that because they're doing something that will impact them in four years versus other people, that they hold a certain level of superiority to other people. 
",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,Sapphire,MechE,female,Sophomore,No,NEG," So, like, for me, like, even like if I go to other people on campus, like, we just think of engineering as, like, ridiculously hard. 
",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,Sapphire,MechE,female,Sophomore,No,NEG," Which, I'm not saying it's not easy but like, all the majors here are ridiculously hard. So, it's not like my major is more harder than, or like harder than yours, but just like, this perspective like, it's like, like when you say…like you get true responses, they're usually, like, ""Oh, you're another engineer."" Or you're like, ""Wow,"" like, I don't have the brains for that or something like that. And that's just... And like, for me, it's like, and a lot of my friends, like, we struggle, like it's not like, it's... So, I think when people say, like, ""Oh, like, you're super smart. I was like, just, it comes so easy for you,"" like, it doesn't. And like, they don't see the hard work of, like, the late nights that you put in and spend. And like, that's just, that goes for any major, like, if you're passionate about it, which like people who generally are in engineering, for some reason...like, or for whatever...like, you're in that major, you generally are more passionate about that field than other fields of your interest, so...because you're choosing to study it, and so, I just, I don't know, I kind of find it frustrating because people downplay their majors as well.  
",False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5,Sapphire,MechE,female,Sophomore,No,NEG," And they kind of like, put on like a pedestal, like engineering, and just like... 
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,Gabby,ChemE,female,Junior,No,NEG," I hate when people do that. (put majors above others)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,Sapphire,MechE,female,Sophomore,No,NEG," Yeah, I don't like it either. (put majors above others)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8,Buttercup,MechE,male,Not Specified,Not Specified,NEU," Oh, definitely.  (to people being surprised they are in major)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,Sapphire,MechE,female,Sophomore,No,NEU," Oh, yeah. (to people being surprised they are in major)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10,Gabby,ChemE,female,Junior,No,NEU," Especially my freshman year. I remember telling people like, you know, you get to school and they'll be like, ""What is your major?"" And then like, we'll exchange, and I'll be like, ""Oh, chemical engineering."" They're like, ""Oh, okay."" I’m like, “Why is it surprising? What are you expecting?” So that’s kind of funny.
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
11,Sapphire,MechE,female,Sophomore,No,NEU," And I think for at least for like freshmen, like, going into it, it's like, at least for me, like, there's so many different majors. And so, when you hear engineering, for whatever reason, it's just like, ""Whoa, that's like, dang."" And then, you could probably...there's also probably another side, like, they assume like which major you are but like...but I don't think that says much at least in the, like, the freshman orientation because like you're trying to learn and like asking people and so, like, there's so many majors that you don't even know about. So, at least, like, when I heard someone was a Chem E. I was like, ""Oh, yeah."" And like, the first semester, like, you're doing chemical engineering but then you're realizing that like, in chemistry, like, I had so many friends who were chemical engineering drop off. 
",False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
12,Red,ChemE,female,Sophomore,Not Specified,NEU," That's always their reaction. (to people being surprised they are in major)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,Buttercup,MechE,male,Not Specified,Not Specified,NEU," I’ve definitely gotten that. I can cite like an example, well, it was during the winter break, I went to the gym and I stopped by, I think it's like GM or something to pick up protein, and the guy who was there and I think he saw my car keys, that I go to UMBC, he was like, ""Oh, you go to UMBC."" And I said, ""Yeah."" And he was like, ""Oh, what are you majoring in?"" I said, ""Mechanical engineering."" And then I seemed as if his whole body like changed where he was like, ""Wow, that's really hard. How are you keeping up?"" Those type of questions. Where I was like, ""I'm keeping up like an average student who does mechanical engineering."" 
",False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
14,Gabby,ChemE,female,Junior,No,NEG," I have definitely gotten the like, you know, typical answer like, ""Whoa, you don't look like you would study that."" And I think like, you know, it’s because people would envision you as like a, you know, like a white male who's like…like I'm just being blunt here, socially awkward and like kinda nerdy and I don't think I'm socially awkward. I'm a little nerdy but I mean, you know, like, so, I guess, I just don't seem like...I don't know. 
",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15,Buttercup,MechE,male,Not Specified,Not Specified,NEG," I don't know. For me, it's different, or, I mean, because luckily, I'm in a scholars program with a lot of other people with like diverse backgrounds so I can see people similar to me that can help. But as like, when I go into the real world, like if I have an internship or just any executive like, wing, it feels different because like, I mean, even like it affects me internally when I'm asking, I'm like the affirmative action kid, more people look at you like you're the affirmative action kid or you're here because of this. That's like really a big thing that I get questioned a lot. 
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
16,Red,ChemE,female,Sophomore,Not Specified,NEU," This is my first year as a Chem. E., so, like, I haven't really started chemical engineering classes and still doing generally, you know, Chemistry, Calc I, Calc II, so, I'm in with a lot of STEM majors and I'm in the STEM BUILD program, and I live in a STEM Living Learning Community, so, all the people around me are mostly bio majors. So, that's what I'm surrounded with mostly, like, none of them are really engineers, so, I don't know, I hope like, when I get to the Chem. E. classes, then I'll, you know, be surrounded with people who are engineers and that will bring that sense of belonging. 
",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,Sapphire,MechE,female,Sophomore,No,NEG," I think, for a while, I mean, I think, for a while, I was in my classes and I mean, because it could just be a thing that I do but, like, I always found myself...I don't like putting myself down but just like, thinking like, oh, everybody else in these classes are doing like extraordinarily well and I'm not. And so, but, yeah, what I have found really awesome, like, this semester is like, I've been a little bit more honest with people and people have been honest with me about like, ""Hey, I'm struggling in this area.""  
",False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
18,Sapphire,MechE,female,Sophomore,No,POS," And like, even like me just asking for help has been like so well-received, like, I had a super stressful day yesterday and I had dynamics homework that was due and I hadn't done it yet, and I was like, so, I had like a bunch of friends that I would like message, and like, some people didn't respond, I was like, so, I had another person, like, ""Hey, like, I need help. Can you help me?"" Because like, I, like just processing the question, I didn’t know where to go, and it was like due in a couple hours. And so, and I was like, walking by and they're having a review session and there's a whole bunch of people in there and they're like, ""Oh, yeah, like, I can help you with that."" And like my other friend just messaged me like, okay, like how to do the problem. And then, so just in terms of like that support, from like all different areas. So, it's like, within, so it's not just like one specific group of people in my classes, but it's like multiple, different groups of, like, people. So, in terms of that regard, I think I fit in and, like, I think that's why I'm sticking with it, I guess.
",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
19,Gabby,ChemE,female,Junior,No,NEU," I feel like... So, I love the people in my major. I feel like I have a good support system, especially being in CWIT but I...like, just honestly speaking, a lot of the time, I felt like I haven't fit in just because, I don't know, everyone's just so smart and I feel like, ""Wow, like I'm never gonna like be as smart as everyone else."" Or like, do I really deserve to be studying this, you know? And yeah, I don't know, honestly, like, I feel like if I weren't in CWIT, I probably would've like switched majors because I thought about it before, like, I think I have just, like, lacked the confidence but I’ve kept going also. 
",False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
20,Sapphire,MechE,female,Sophomore,No,NEG," Like the other thing is, like, like with questions in class. Like, sometimes, like the professor or someone will be like, ""Okay, are there any questions?"" Or like, they'll ask a question. And then, sometimes, you think yourself and you think the answer but then you're not confident of the answer because you don't want the response of like getting it wrong, even though like you're in a classroom to learn, but it's just like, you don't wanna get, like, looked at or like, ""Oh, she's just asking another stupid question."" I think I’ve gotten to a point where I don't care if people have that perception of me, I'm gonna ask my question because I need the answer for it, but I found myself like not asking as many questions because of that, or... 
",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
21,Buttercup,MechE,male,Not Specified,Not Specified,NEU," I remember Statics, the first day of class, a student, I'm not sure if this affects it but he's a Caucasian male, and continued to do this, or he does this a lot, but on the first day, he argued with her during her lecture during the last 10 minutes about why an answer for her question was the answer he thought of, and I'm just sitting there like, ""How?"" 
",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
22,Sapphire,MechE,female,Sophomore,No,NEU," ...and like, that's so great. Like, I'm happy for them. And I just like, or like some people like working through the problems as the professor is working through the problem and we'll get the answer, I'm just trying like, keep like, at the pace of like understanding, okay, what the professor is doing, I'm like I don't even have time to check the work but then I'm like thankful they're there because, like, the professor did make a mistake, and so, like, that was like last semester and like, the professor was just like, ""Hey, let me know if I make a mistake,"" like, it was really like...really odd. 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
23,Sapphire,MechE,female,Sophomore,No,NEU," It's the way that the questions are asked, because sometimes, people ask questions with a lot of extra information, so they're like, ""Oh, so like, we think, so like, look at this and how this moves as it kinda like relate to this, and all this extra information. I'm just like, ""Wow, that's a really good question,"" and like, I'm just like, I just want him to like explain it again because I'm so lost in the content. And so, it's like, I don't know, maybe if there was moreso of like... Because sometimes the professor, like, they'll explain something, and they'll be like, ""Any questions?"" And they know that you don't have it but like, I don't have the questions to ask at the time. And so, then they move on to the next one. And so, like, maybe in terms of like, ""All right, hey guys, like what are we struggling with this topic, and ask…and putting it in that phrase, instead of like, ""Oh, do you have any questions?"" Sort of like, ""All right, what are you guys struggling with this?"" Like, ""What's something that you're struggling with in this problem?"" 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
