D1,D2,Tag,Pos,Neg,Neu
Year,Freshman,PROF,0.8,0.2,0.0
Year,Sophomore,PROF,0.333333333333,0.444444444444,0.222222222222
Year,Junior,PROF,0.142857142857,0.285714285714,0.571428571429
Year,Senior,PROF,0.416666666667,0.5,0.0833333333333
Year,Not Specified,PROF,0.296296296296,0.592592592593,0.111111111111
Gender,male,PROF,0.444444444444,0.444444444444,0.111111111111
Gender,female,PROF,0.288888888889,0.511111111111,0.2
Major,MechE,PROF,0.380952380952,0.47619047619,0.142857142857
Major,ChemE,PROF,0.2,0.2,0.6
Major,InfoS,PROF,0.285714285714,0.571428571429,0.142857142857
Major,CompE,PROF,0.384615384615,0.461538461538,0.153846153846
Major,CompS,PROF,0.428571428571,0.47619047619,0.0952380952381
Year,Freshman,GEN,0.333333333333,0.333333333333,0.333333333333
Year,Sophomore,GEN,0.190476190476,0.47619047619,0.333333333333
Year,Junior,GEN,0.0,0.8,0.2
Year,Senior,GEN,0.178571428571,0.607142857143,0.214285714286
Year,Not Specified,GEN,0.2,0.314285714286,0.485714285714
Gender,male,GEN,0.2,0.325,0.475
Gender,female,GEN,0.173076923077,0.576923076923,0.25
Major,MechE,GEN,0.172413793103,0.51724137931,0.310344827586
Major,ChemE,GEN,0.166666666667,0.5,0.333333333333
Major,InfoS,GEN,0.117647058824,0.235294117647,0.647058823529
Major,CompE,GEN,0.105263157895,0.631578947368,0.263157894737
Major,CompS,GEN,0.333333333333,0.428571428571,0.238095238095
Year-Freshman,RAC,0,0,0
Year,Sophomore,RAC,0.428571428571,0.142857142857,0.428571428571
Year,Junior,RAC,0.0,0.5,0.5
Year,Senior,RAC,0.142857142857,0.142857142857,0.714285714286
Year,Not Specified,RAC,0.0967741935484,0.548387096774,0.354838709677
Gender,male,RAC,0.114285714286,0.485714285714,0.4
Gender,female,RAC,0.25,0.25,0.5
Major,MechE,RAC,0.1875,0.3125,0.5
Major,ChemE,RAC,1.0,0.0,0.0
Major,InfoS,RAC,0.0526315789474,0.684210526316,0.263157894737
Major,CompE,RAC,0.0,0.0,1.0
Major,CompS,RAC,0.125,0.25,0.625
Year,Freshman,PEER,0.5,0.5,0.0
Year,Sophomore,PEER,0.210526315789,0.473684210526,0.315789473684
Year,Junior,PEER,0.0,0.5,0.5
Year,Senior,PEER,0.379310344828,0.413793103448,0.206896551724
Year,Not Specified,PEER,0.189189189189,0.459459459459,0.351351351351
Gender,male,PEER,0.34693877551,0.448979591837,0.204081632653
Gender,female,PEER,0.195652173913,0.45652173913,0.347826086957
Major,MechE,PEER,0.130434782609,0.565217391304,0.304347826087
Major,ChemE,PEER,0.25,0.25,0.5
Major,InfoS,PEER,0.259259259259,0.407407407407,0.333333333333
Major,CompE,PEER,0.318181818182,0.454545454545,0.227272727273
Major,CompS,PEER,0.421052631579,0.421052631579,0.157894736842
Year,Freshman,STERM,0.333333333333,0.333333333333,0.333333333333
Year,Sophomore,STERM,0.0,0.538461538462,0.461538461538
Year,Junior,STERM,0.0,0.714285714286,0.285714285714
Year,Senior,STERM,0.111111111111,0.611111111111,0.277777777778
Year,Not Specified,STERM,0.190476190476,0.571428571429,0.238095238095
Gender,male,STERM,0.181818181818,0.484848484848,0.333333333333
Gender,female,STERM,0.0344827586207,0.689655172414,0.275862068966
Major,MechE,STERM,0.0,0.6,0.4
Major,ChemE,STERM,0.0,0.6,0.4
