Tag1,Tag2,Pos,Neg,Neu
PROF,ATMD,0,0,0
PROF,Unnamed: 0,0,0,0
PROF,GEN,2,4,1
PROF,REC,0,0,0
PROF,BACK,0,0,0
PROF,EXMP,1,1,0
PROF,PREP,0,0,0
PROF,COMM,6,1,2
PROF,PEER,2,8,2
PROF,GENERAL,0,0,0
PROF,RAC,0,1,0
PROF,STERM,1,3,0
PROF,PEERS,0,0,0
PROF,EXPM,0,9,2
PROF,IMP,1,3,2
GEN,ATMD,0,0,0
GEN,Unnamed: 0,0,0,0
GEN,REC,0,0,0
GEN,BACK,1,0,1
GEN,EXMP,0,1,0
GEN,PREP,0,0,0
GEN,PROF,2,4,1
GEN,COMM,3,3,5
GEN,PEER,7,16,3
GEN,GENERAL,0,0,0
GEN,RAC,3,2,9
GEN,STERM,0,11,3
GEN,PEERS,0,0,1
GEN,EXPM,1,4,1
GEN,IMP,0,0,1
RAC,ATMD,0,0,0
RAC,Unnamed: 0,0,0,0
RAC,GEN,3,2,9
RAC,REC,0,0,0
RAC,BACK,0,0,0
RAC,EXMP,0,0,0
RAC,PREP,0,0,0
RAC,PROF,0,1,0
RAC,COMM,0,2,2
RAC,PEER,1,6,2
RAC,GENERAL,0,0,0
RAC,STERM,0,3,0
RAC,PEERS,0,0,0
RAC,EXPM,0,0,1
RAC,IMP,0,0,1
PEER,ATMD,0,0,0
PEER,Unnamed: 0,0,0,0
PEER,GEN,7,16,3
PEER,REC,0,0,1
PEER,BACK,0,0,0
PEER,EXMP,2,2,0
PEER,PREP,0,0,0
PEER,PROF,2,8,2
PEER,COMM,11,2,8
PEER,GENERAL,0,0,0
PEER,RAC,1,6,2
PEER,STERM,2,2,1
PEER,PEERS,0,0,0
PEER,EXPM,1,6,2
PEER,IMP,1,1,2
STERM,ATMD,0,0,0
STERM,Unnamed: 0,0,1,0
STERM,GEN,0,11,3
STERM,REC,0,0,0
STERM,BACK,0,0,0
STERM,EXMP,0,0,0
STERM,PREP,0,0,0
STERM,PROF,1,3,0
STERM,COMM,1,1,0
STERM,PEER,2,2,1
STERM,GENERAL,0,0,0
STERM,RAC,0,3,0
STERM,PEERS,0,0,0
STERM,EXPM,0,8,2
STERM,IMP,0,0,0
COMM,ATMD,0,0,0
COMM,Unnamed: 0,0,0,0
COMM,GEN,3,3,5
COMM,REC,0,0,0
COMM,BACK,0,0,0
COMM,EXMP,1,0,1
COMM,PREP,0,0,0
COMM,PROF,6,1,2
COMM,PEER,11,2,8
COMM,GENERAL,0,0,0
COMM,RAC,0,2,2
COMM,STERM,1,1,0
COMM,PEERS,0,0,0
COMM,EXPM,1,2,3
COMM,IMP,1,1,2
EXPM,ATMD,0,0,0
EXPM,Unnamed: 0,0,0,0
EXPM,GEN,1,4,1
EXPM,REC,0,0,0
EXPM,BACK,1,0,0
EXPM,EXMP,0,0,0
EXPM,PREP,1,0,0
EXPM,PROF,0,9,2
EXPM,COMM,1,2,3
EXPM,PEER,1,6,2
EXPM,GENERAL,0,0,0
EXPM,RAC,0,0,1
EXPM,STERM,0,8,2
EXPM,PEERS,1,1,0
EXPM,IMP,0,3,3
IMP,ATMD,0,0,0
IMP,Unnamed: 0,0,0,0
IMP,GEN,0,0,1
IMP,REC,0,0,0
IMP,BACK,0,0,0
IMP,EXMP,0,0,0
IMP,PREP,0,0,0
IMP,PROF,1,3,2
IMP,COMM,1,1,2
IMP,PEER,1,1,2
IMP,GENERAL,0,0,0
IMP,RAC,0,0,1
IMP,STERM,0,0,0
IMP,PEERS,0,0,0
IMP,EXPM,0,3,3
